epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
49,2918.03,1.38474,1.01608,0.9901,0.53689,0.43281,0.43109,0.25429,1.27973,0.97131,0.95551,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
50,2988.1,1.39602,1.02067,0.9908,0.54186,0.43669,0.43149,0.25362,1.28293,0.97438,0.95434,0.0193676,0.00645588,0.0193676,0.00645588,0.0193676,0.00645588,0.0193676,0.00645588
51,3053.04,1.38922,1.02586,0.99138,0.54882,0.42599,0.42946,0.25443,1.27655,0.98055,0.95445,0.0189935,0.00633115,0.0189935,0.00633115,0.0189935,0.00633115,0.0189935,0.00633115
52,3111.13,1.37086,1.01526,0.99083,0.53901,0.43517,0.43067,0.25483,1.27433,0.9749,0.95411,0.0186167,0.00620555,0.0186167,0.00620555,0.0186167,0.00620555,0.0186167,0.00620555
53,3174.42,1.38575,1.01429,0.98896,0.54059,0.44241,0.4338,0.25602,1.27914,0.96567,0.95598,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916
54,3231.72,1.37142,1.00393,0.98923,0.55063,0.44517,0.4408,0.26058,1.27364,0.95921,0.95433,0.0178562,0.00595207,0.0178562,0.00595207,0.0178562,0.00595207,0.0178562,0.00595207
55,3284.58,1.37631,1.01035,0.9885,0.53355,0.43651,0.43237,0.25511,1.27442,0.98172,0.95368,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435
56,3345.19,1.38829,1.00426,0.98559,0.53608,0.44189,0.43739,0.25796,1.27025,0.95896,0.95239,0.0170883,0.0056961,0.0170883,0.0056961,0.0170883,0.0056961,0.0170883,0.0056961
57,3402.97,1.37818,0.99997,0.98663,0.54484,0.44063,0.43733,0.25798,1.27416,0.96488,0.95183,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742
58,3455.17,1.36042,0.99157,0.98211,0.5351,0.4493,0.43847,0.25844,1.27876,0.97411,0.95439,0.0163151,0.00543837,0.0163151,0.00543837,0.0163151,0.00543837,0.0163151,0.00543837
59,3515.31,1.36399,0.97741,0.97972,0.53406,0.44502,0.43773,0.25855,1.27699,0.96997,0.9528,0.0159272,0.00530906,0.0159272,0.00530906,0.0159272,0.00530906,0.0159272,0.00530906
